Year,Season,AOD,CO,NO2,O3,LST
2018,Winter,-0.424806292,0.043343718,0.000228428,0.115029269,23.53580816
2018,Winter,-0.462144826,0.043403779,0.000234227,0.115158097,25.41571916
2018,Winter,-0.321402932,0.045137617,0.00032384,0.115436463,25.8327176
2018,Winter,-0.545578396,0.041898156,0.00023449,0.115300477,22.99234298
2018,Winter,-0.523435703,0.042640627,0.000241218,0.115381383,24.81072962
2018,Winter,-0.585404711,0.041705887,0.00012095,0.114466507,27.3195563
2018,Winter,-0.339859627,0.04487575,0.000276637,0.115392359,24.9953027
2018,Winter,-0.480408704,0.042417151,0.00017628,0.115055185,24.06560126
2018,Winter,-0.416231897,0.044370479,0.000276541,0.115247378,23.89811828
2018,Winter,-0.402038233,0.044805715,0.00029317,0.115331575,24.192068
2018,Winter,-0.569087756,0.041778969,0.000125136,0.114471987,28.62182192
2018,Winter,-0.517314806,0.043426541,0.000232104,0.115358564,25.38153896
2018,Winter,-0.440755247,0.044311639,0.000267851,0.115403771,26.071979
2018,Winter,-0.584371467,0.042311295,0.000141603,0.114765182,25.1149334
2018,Winter,-0.494417971,0.043321411,0.000229574,0.115163916,24.39373118
2018,Winter,-0.453094925,0.043189335,0.000225707,0.114961035,29.76685862
2018,Winter,-0.463876542,0.044048448,0.000244854,0.115338859,25.30976054
2018,Winter,-0.421548533,0.044434499,0.000304009,0.115258644,25.2858344
2018,Winter,-0.52977296,0.042353587,0.000244888,0.115374687,27.32297432
2018,Winter,-0.52822523,0.041719631,0.000144902,0.114668799,29.74293248
2018,Winter,-0.516428633,0.042783478,0.000222906,0.115194442,25.87031582
2018,Winter,-0.361242154,0.044518514,0.0003342,0.115319412,24.57488624
2018,Winter,-0.444336383,0.043447876,0.000275702,0.115258138,29.96168576
2018,Winter,-0.566968486,0.04183624,0.000233633,0.115411543,26.11983128
2018,Winter,-0.537900759,0.041279571,0.000140048,0.114685506,27.89720168
2018,Winter,-0.520090382,0.041767173,0.000145332,0.114841282,26.79318122
2018,Winter,-0.569414542,0.041731248,0.000122497,0.114521611,27.40158878
2018,Winter,-0.324512061,0.044827166,0.000311903,0.115380411,24.362969
2018,Winter,-0.583454761,0.042074162,0.000129814,0.114678458,28.87133738
2018,Winter,-0.428413806,0.043509164,0.000223512,0.115035595,21.88832252
2018,Winter,-0.559070588,0.042228564,0.000112312,0.114324352,25.48749758
2018,Winter,-0.566055732,0.041403707,0.00011554,0.114516383,23.89470026
2018,Winter,-0.545138201,0.04155764,0.000116604,0.114550973,27.610088
2018,Winter,-0.519346232,0.041421088,0.000110942,0.114421877,27.9006197
2018,Winter,-0.516308006,0.042592463,0.000159313,0.114879143,26.50264952
2018,Winter,-0.54579224,0.041841712,0.000122856,0.114516888,22.36000928
2018,Winter,-0.568002192,0.041950792,0.000161714,0.114772223,27.58274384
2018,Winter,-0.58273742,0.042223414,0.000147547,0.114802252,26.85128756
2018,Winter,-0.439041073,0.043791131,0.000259161,0.115372249,26.5505018
2018,Winter,-0.485390804,0.043154779,0.000212538,0.115009679,23.59049648
2018,Winter,-0.531176026,0.04188075,0.000138443,0.114825076,27.5759078
2018,Winter,-0.553656508,0.042441257,0.000168826,0.114766119,28.7551247
2018,Winter,-0.412004706,0.043595401,0.000242493,0.115129507,24.1066175
2018,Winter,-0.443774907,0.043255035,0.000248754,0.115194839,25.42597322
2018,Winter,-0.391632705,0.044766153,0.000306931,0.115222419,25.2858344
2018,Winter,-0.568421933,0.041688657,0.000126671,0.114546619,28.3278722
2018,Winter,-0.550602242,0.041862575,0.000128518,0.114618986,25.61738234
2018,Winter,-0.581559634,0.042280344,0.000143326,0.114761898,25.02264686
2018,Winter,-0.352603631,0.04446912,0.000334853,0.115330187,23.76823352
2018,Winter,-0.585827132,0.041398652,0.00011711,0.11443989,27.41526086
2018,Winter,-0.524009308,0.041470969,0.000130616,0.114539233,26.85128756
2018,Winter,-0.333220177,0.044867102,0.000287185,0.115373255,25.58662016
2018,Winter,-0.480992553,0.043717519,0.000236848,0.115287486,24.39373118
2018,Winter,-0.494255453,0.042854137,0.00020171,0.115016077,28.88500946
2018,Winter,-0.431361522,0.044134891,0.000257692,0.115347196,24.71502506
2018,Winter,-0.516725655,0.043611177,0.000196348,0.114887077,28.0544306
2018,Winter,-0.5041634,0.042770644,0.000230157,0.115216705,27.78440702
2018,Winter,-0.562827987,0.041807907,0.0001315,0.114588984,25.78486532
2018,Winter,-0.549905325,0.042375465,0.000168335,0.114906448,24.92010626
2018,Winter,-0.419444083,0.044762471,0.000285454,0.115332424,25.24140014
2018,Winter,-0.471634278,0.043968186,0.000254539,0.115389704,25.08417122
2018,Winter,-0.556132837,0.041667509,0.000118252,0.114501111,24.81756566
2018,Winter,-0.499580917,0.043264821,0.000229535,0.115185346,26.00703662
2018,Winter,-0.488503885,0.043670147,0.000249347,0.115419022,23.86393808
2018,Winter,-0.539578227,0.042858094,0.000235853,0.115368312,27.59983394
2018,Winter,-0.389261992,0.044234867,0.000321281,0.11527747,24.90643418
2018,Winter,-0.559033084,0.041761999,0.000157388,0.114813613,26.56075586
2018,Winter,-0.572014922,0.042242968,0.000136298,0.114755284,30.18385706
2018,Winter,-0.565424297,0.041808165,0.000156574,0.114801375,25.87715186
2018,Winter,-0.543343302,0.041838635,0.000138942,0.114771995,27.610088
2018,Winter,-0.572055726,0.041874463,0.000115479,0.114368532,26.08565108
2018,Winter,-0.541008688,0.041618613,0.000146701,0.114798472,24.52703396
2018,Winter,-0.534795908,0.041278274,0.000140784,0.11474836,22.45229582
2018,Winter,-0.568498045,0.041638025,0.000125453,0.114445241,26.68038656
2018,Winter,-0.415352091,0.044150701,0.000262387,0.115282364,23.6110046
2018,Winter,-0.426960775,0.044211429,0.000267166,0.115328237,23.66911094
2018,Winter,-0.386596156,0.044584399,0.000287762,0.115348917,23.08462952
2018,Winter,-0.344687762,0.044866186,0.000312148,0.115379987,28.464593
2018,Winter,-0.576875351,0.041883029,0.000147598,0.114796379,27.70237454
2018,Winter,-0.479821989,0.044084868,0.000259545,0.115378629,23.25894854
2018,Winter,-0.567520486,0.042122724,0.000132979,0.114750256,26.80001726
2018,Winter,-0.489412929,0.043418785,0.000237729,0.11532966,23.64176678
2018,Winter,-0.574254312,0.04267127,0.000166576,0.11477611,29.34986018
2018,Winter,-0.574108327,0.041546396,0.00012249,0.114457441,29.29858988
2018,Winter,-0.498850495,0.041788332,0.000158845,0.114939602,26.52315764
2018,Winter,-0.568002192,0.041950792,0.000161714,0.114772223,30.84353492
2018,Winter,-0.569277312,0.041909147,0.000123888,0.114520914,29.49341702
